epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.2688,2.51612,13.5074,1.57561,0.88036,0.01742,0.019,0.00779,2.73369,5.14982,1.84399,0.000204613,0.000204613,0.000204613
2,25.6282,2.66128,7.73836,1.73904,0.00134,0.00348,0.00064,0.00017,2.92707,inf,2.57461,0.000408858,0.000408858,0.000408858
3,39.5823,2.63631,5.60453,1.77254,0.05504,0.04899,0.02839,0.01521,3.35595,inf,4.33059,0.000608978,0.000608978,0.000608978
4,53.8177,2.51161,5.42085,1.6299,0.2106,0.02091,0.01761,0.00635,2.64211,4.4165,1.86826,0.000606437,0.000606437,0.000606437
5,66.8699,2.78419,4.82186,1.76051,0.14467,0.03136,0.00151,0.00053,2.88768,12.7171,1.99669,0.00060025,0.00060025,0.00060025
6,79.878,2.7469,4.7018,1.80005,0.44831,0.03129,0.01721,0.00905,2.846,4.22179,2.00507,0.000594062,0.000594062,0.000594062
7,93.1244,2.62609,4.11339,1.7743,0.19304,0.02454,0.02883,0.01257,2.71312,3.98281,2.05341,0.000587875,0.000587875,0.000587875
8,106.145,2.58367,4.36891,1.73299,0.00155,0.17954,0.01935,0.00662,2.5683,4.15065,1.85101,0.000581687,0.000581687,0.000581687
9,119.147,2.64491,4.16529,1.7394,0.32585,0.02787,0.02352,0.01171,2.90367,4.21479,2.14081,0.0005755,0.0005755,0.0005755
10,132.232,2.59864,4.21005,1.73377,0.62203,0.03491,0.03574,0.01525,2.76038,4.2615,1.97564,0.000569313,0.000569313,0.000569313
11,146.523,2.44937,3.77147,1.56204,0.23096,0.04612,0.04417,0.01885,2.68455,3.64967,1.96232,0.000563125,0.000563125,0.000563125
12,160.708,2.44762,3.75447,1.6202,0.3312,0.06294,0.03393,0.01269,2.71861,3.41968,2.03507,0.000556938,0.000556938,0.000556938
13,173.737,2.54836,3.72505,1.70642,0.20021,0.05718,0.0384,0.01877,2.56615,3.5216,1.91404,0.00055075,0.00055075,0.00055075
14,186.865,2.47741,3.78364,1.65265,0.49275,0.03074,0.01781,0.00578,2.73334,4.23778,2.01574,0.000544563,0.000544563,0.000544563
15,199.916,2.31454,3.54587,1.59949,0.46831,0.03136,0.03826,0.0162,2.56983,3.80546,1.82554,0.000538375,0.000538375,0.000538375
16,212.886,2.28263,3.7768,1.59525,0.65284,0.05111,0.04468,0.02072,2.50032,3.61467,1.83269,0.000532187,0.000532187,0.000532187
17,227.241,2.52226,4.18957,1.66155,0.01314,0.16827,0.05403,0.02469,2.52148,3.86891,1.79545,0.000526,0.000526,0.000526
18,241.392,2.59518,3.7782,1.6382,0.66449,0.07586,0.05681,0.02529,2.41244,3.55432,1.74529,0.000519812,0.000519812,0.000519812
19,255.681,2.09121,3.80593,1.40094,0.74971,0.03361,0.05763,0.0245,2.60407,3.81083,1.84699,0.000513625,0.000513625,0.000513625
20,268.919,2.33217,3.82459,1.60428,0.03111,0.21775,0.06438,0.02937,2.45466,3.64188,1.82225,0.000507438,0.000507438,0.000507438
