epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
21,282.902,2.16023,3.33887,1.47342,0.541,0.07256,0.05958,0.0312,2.28055,3.32986,1.71258,0.00050125,0.00050125,0.00050125
22,296.792,2.18213,3.20117,1.40407,0.52395,0.11949,0.07338,0.03661,2.33622,3.33055,1.68001,0.000495063,0.000495063,0.000495063
23,311.104,2.17893,3.2064,1.45619,0.51988,0.09777,0.06805,0.03543,2.44687,3.35549,1.74095,0.000488875,0.000488875,0.000488875
24,324.061,2.08833,3.27249,1.34859,0.61406,0.05226,0.04702,0.02373,2.48229,3.60762,1.76345,0.000482687,0.000482687,0.000482687
25,337.057,2.13462,3.07733,1.44901,0.64619,0.03825,0.05063,0.02432,2.44474,3.81037,1.78268,0.0004765,0.0004765,0.0004765
26,350.085,2.1414,3.26877,1.43782,0.48349,0.06559,0.04738,0.0202,2.4778,3.46783,1.83776,0.000470312,0.000470312,0.000470312
27,363.265,2.07732,3.31888,1.4199,0.51693,0.09927,0.06621,0.03473,2.19018,3.46707,1.69655,0.000464125,0.000464125,0.000464125
28,376.33,1.95793,3.15436,1.3365,0.59557,0.06969,0.03782,0.01575,2.47404,3.26386,1.86039,0.000457938,0.000457938,0.000457938
29,389.31,2.005,3.17397,1.42094,0.75068,0.05226,0.03933,0.0179,2.48297,3.2494,1.88439,0.00045175,0.00045175,0.00045175
30,402.548,2.10871,3.04728,1.4549,0.67272,0.07694,0.06285,0.02803,2.48965,3.43361,1.77009,0.000445562,0.000445562,0.000445562
31,415.521,2.13199,3.22698,1.44424,0.66847,0.07615,0.06547,0.02858,2.47092,3.4471,1.7696,0.000439375,0.000439375,0.000439375
32,428.541,1.95024,2.79075,1.28846,0.64647,0.07829,0.05134,0.01894,2.36027,3.36176,1.73281,0.000433187,0.000433187,0.000433187
33,441.582,1.92832,3.01774,1.31919,0.6471,0.07891,0.05242,0.01874,2.36375,3.28719,1.72438,0.000427,0.000427,0.000427
34,454.731,1.98065,3.19673,1.40939,0.64989,0.11009,0.07328,0.03384,2.31949,3.19291,1.77226,0.000420812,0.000420812,0.000420812
35,467.781,1.90773,3.00115,1.3084,0.66476,0.09777,0.07087,0.03576,2.39688,3.3216,1.8007,0.000414625,0.000414625,0.000414625
36,480.804,1.81047,2.89665,1.37827,0.76872,0.09059,0.0941,0.04682,2.31882,2.98884,1.81978,0.000408438,0.000408438,0.000408438
37,495.134,1.77918,2.81962,1.27887,0.5231,0.11774,0.08255,0.03782,2.37292,2.9533,1.7881,0.00040225,0.00040225,0.00040225
38,508.107,1.77932,2.88598,1.2894,0.54676,0.1117,0.08555,0.04026,2.37644,3.16038,1.78482,0.000396063,0.000396063,0.000396063
39,521.155,2.03838,2.99718,1.37625,0.40485,0.10847,0.09911,0.04436,2.40802,3.22798,1.72768,0.000389875,0.000389875,0.000389875
40,534.328,1.95453,2.82265,1.33726,0.51506,0.14962,0.07868,0.03259,2.42554,3.18097,1.67531,0.000383688,0.000383688,0.000383688
41,547.35,2.02287,3.0245,1.34861,0.53843,0.10822,0.08358,0.03795,2.29557,2.9301,1.70058,0.0003775,0.0003775,0.0003775
42,560.415,1.79918,2.93121,1.24109,0.6874,0.15372,0.10827,0.0564,2.17313,2.85007,1.6129,0.000371313,0.000371313,0.000371313
43,574.699,1.76663,2.77415,1.31681,0.66972,0.11662,0.08949,0.05254,2.15104,2.83764,1.59923,0.000365125,0.000365125,0.000365125
44,587.686,1.75625,2.48356,1.25723,0.60783,0.07317,0.07742,0.04125,2.25203,3.33912,1.67716,0.000358938,0.000358938,0.000358938
45,600.733,1.66622,2.77447,1.29655,0.53638,0.10187,0.0709,0.03566,2.31998,3.43282,1.65949,0.00035275,0.00035275,0.00035275
46,613.845,1.5359,2.72988,1.16698,0.64967,0.0949,0.06266,0.03384,2.17858,3.1713,1.63178,0.000346563,0.000346563,0.000346563
47,626.761,1.61589,2.77287,1.15049,0.65675,0.09264,0.07932,0.04386,2.26428,3.21023,1.68233,0.000340375,0.000340375,0.000340375
48,639.864,1.8301,2.93352,1.25035,0.53779,0.14837,0.09968,0.05323,2.34768,2.97343,1.7161,0.000334188,0.000334188,0.000334188
49,652.972,1.74058,2.47431,1.23947,0.53359,0.19092,0.11086,0.06164,2.24044,2.66848,1.68898,0.000328,0.000328,0.000328
50,667.126,1.71625,3.02703,1.22519,0.54385,0.15229,0.1083,0.05743,2.32225,2.92903,1.71401,0.000321812,0.000321812,0.000321812
51,680.153,1.69678,2.81707,1.27218,0.68835,0.15229,0.10253,0.05406,2.28248,3.20473,1.69581,0.000315625,0.000315625,0.000315625
52,693.29,1.80514,2.70216,1.34441,0.68157,0.14532,0.10605,0.05308,2.11529,2.75223,1.56578,0.000309437,0.000309437,0.000309437
53,706.339,1.56576,2.41932,1.23812,0.5272,0.17053,0.09579,0.04712,2.24765,2.69673,1.65922,0.00030325,0.00030325,0.00030325
54,719.343,1.55812,2.89722,1.14535,0.53752,0.15229,0.09882,0.04894,2.28239,2.77894,1.6376,0.000297063,0.000297063,0.000297063
55,732.458,1.61207,2.38015,1.19984,0.68919,0.14388,0.10298,0.06047,2.10458,2.8439,1.57023,0.000290875,0.000290875,0.000290875
56,745.548,1.67019,2.6261,1.23177,0.52909,0.14327,0.09319,0.04663,2.18949,3.01773,1.61545,0.000284688,0.000284688,0.000284688
57,758.57,1.48053,2.516,1.13919,0.5289,0.18385,0.09377,0.04531,2.21949,3.00187,1.64211,0.0002785,0.0002785,0.0002785
58,771.829,1.57356,2.24856,1.21144,0.52786,0.19082,0.09654,0.04622,2.28407,2.97452,1.72278,0.000272313,0.000272313,0.000272313
59,784.901,1.47587,2.5922,1.15102,0.5381,0.18241,0.11005,0.0576,2.39057,3.0059,1.77965,0.000266125,0.000266125,0.000266125
60,797.979,1.42674,2.24456,1.09848,0.5447,0.15987,0.10741,0.05124,2.32461,3.37237,1.74959,0.000259938,0.000259938,0.000259938
61,811.24,1.3862,2.18362,1.10301,0.40107,0.16916,0.10666,0.05632,2.2153,3.12622,1.65208,0.00025375,0.00025375,0.00025375
62,824.518,1.44271,2.29011,1.09835,0.52909,0.1962,0.10906,0.05962,2.18966,2.7995,1.63988,0.000247563,0.000247563,0.000247563
63,837.76,1.52482,2.50552,1.16277,0.38229,0.1984,0.10824,0.05809,2.21255,2.77867,1.62946,0.000241375,0.000241375,0.000241375
64,850.766,1.36402,2.05799,1.1156,0.54065,0.19697,0.11515,0.06083,2.03307,2.62225,1.58913,0.000235188,0.000235188,0.000235188
65,864.099,1.27529,2.07012,1.05577,0.54328,0.1984,0.12236,0.06842,2.1168,2.60985,1.63047,0.000229,0.000229,0.000229
66,878.682,1.57178,2.37571,1.11503,0.68452,0.16328,0.11955,0.06344,2.18189,2.87165,1.63764,0.000222813,0.000222813,0.000222813
67,891.726,1.39065,2.27657,1.08575,0.67759,0.17545,0.12934,0.07382,2.08335,2.86158,1.59003,0.000216625,0.000216625,0.000216625
68,906.277,1.29403,2.40706,1.01282,0.68953,0.17159,0.123,0.07113,2.12124,2.77037,1.61883,0.000210437,0.000210437,0.000210437
69,919.364,1.26515,2.17135,1.02812,0.68449,0.14655,0.10782,0.05915,2.22277,2.76784,1.6448,0.00020425,0.00020425,0.00020425
70,932.687,1.4097,2.31903,1.15572,0.69818,0.14412,0.10973,0.0626,2.17327,2.84436,1.63166,0.000198063,0.000198063,0.000198063
71,945.68,1.46461,2.2474,1.18676,0.69097,0.14798,0.1142,0.0695,2.06879,2.76318,1.57523,0.000191875,0.000191875,0.000191875
72,958.913,1.32192,2.37266,1.06972,0.67908,0.15987,0.11485,0.07066,2.02686,2.73753,1.54202,0.000185688,0.000185688,0.000185688
73,971.909,1.43421,2.05947,1.12096,0.66731,0.22003,0.11321,0.06423,1.98668,2.68779,1.52497,0.0001795,0.0001795,0.0001795
74,984.963,1.304,2.13883,1.06413,0.69088,0.19143,0.1241,0.07781,1.86905,2.5921,1.49353,0.000173313,0.000173313,0.000173313
75,999.363,1.22741,2.07167,0.99953,0.55259,0.20189,0.12417,0.07678,1.91219,2.52983,1.50629,0.000167125,0.000167125,0.000167125
76,1012.45,1.1394,2.10309,0.91696,0.69695,0.18303,0.11637,0.07523,2.05088,2.60854,1.60701,0.000160938,0.000160938,0.000160938
77,1025.63,1.40092,2.27598,1.11201,0.69861,0.17706,0.12154,0.07692,2.01948,2.77653,1.57495,0.00015475,0.00015475,0.00015475
78,1038.78,1.30089,2.1215,1.11391,0.67724,0.2068,0.11866,0.07066,1.91007,2.72744,1.52101,0.000148563,0.000148563,0.000148563
79,1052,1.19945,1.82204,1.01157,0.67603,0.21377,0.1205,0.06911,2.00696,2.64405,1.57307,0.000142375,0.000142375,0.000142375
80,1064.99,1.11671,2.04156,0.99789,0.66199,0.21377,0.11022,0.06161,2.05108,2.73624,1.6231,0.000136187,0.000136187,0.000136187
81,1078.13,1.22707,2.00184,1.06805,0.54081,0.21726,0.11639,0.06934,2.00091,2.64005,1.59455,0.00013,0.00013,0.00013
82,1091.1,1.24635,2.04029,1.03199,0.55,0.21435,0.12275,0.07387,2.02864,2.69335,1.62618,0.000123812,0.000123812,0.000123812
83,1104.33,1.23409,2.07736,1.01854,0.70055,0.21134,0.12369,0.07614,2.07532,2.73798,1.66009,0.000117625,0.000117625,0.000117625
84,1117.42,1.22961,1.88922,1.07969,0.69979,0.22218,0.13685,0.08453,2.04594,2.61039,1.65489,0.000111438,0.000111438,0.000111438
85,1131.9,1.11894,2.03963,0.99495,0.55486,0.21869,0.12864,0.07728,2.01943,2.60423,1.62904,0.00010525,0.00010525,0.00010525
86,1145.02,1.20941,1.90101,1.03272,0.55125,0.22013,0.12737,0.07422,1.99842,2.5721,1.58395,9.90625e-05,9.90625e-05,9.90625e-05
87,1158.34,1.16352,2.00029,0.96333,0.55386,0.22469,0.12477,0.07331,2.01517,2.53618,1.58709,9.2875e-05,9.2875e-05,9.2875e-05
88,1171.53,1.14375,2.36048,1.01429,0.40941,0.20951,0.12228,0.06665,2.04555,2.61265,1.59721,8.66875e-05,8.66875e-05,8.66875e-05
89,1184.54,1.22479,2.00661,1.02235,0.40738,0.20978,0.12673,0.06928,2.05068,2.68445,1.58872,8.05e-05,8.05e-05,8.05e-05
90,1197.59,1.16302,2.18914,1.03376,0.69755,0.19164,0.1237,0.06956,2.0803,2.64479,1.61977,7.43125e-05,7.43125e-05,7.43125e-05
91,1211.3,1.05882,2.17731,0.87076,0.70445,0.13218,0.11124,0.06174,2.04784,2.58146,1.65085,6.8125e-05,6.8125e-05,6.8125e-05
92,1224.42,0.98244,1.89236,0.86424,0.67514,0.11293,0.10536,0.06131,2.07879,2.74964,1.65108,6.19375e-05,6.19375e-05,6.19375e-05
93,1237.4,0.83896,1.90102,0.76722,0.695,0.15495,0.11,0.06508,2.08459,2.87026,1.64702,5.575e-05,5.575e-05,5.575e-05
94,1250.58,1.03036,1.9179,0.8672,0.52244,0.21922,0.11765,0.07189,2.1065,2.93952,1.67054,4.95625e-05,4.95625e-05,4.95625e-05
95,1263.45,0.84816,1.81721,0.78748,0.37415,0.22915,0.12074,0.07232,2.06674,2.91005,1.6322,4.3375e-05,4.3375e-05,4.3375e-05
96,1276.46,0.86817,1.88824,0.86221,0.26168,0.26024,0.12468,0.07314,2.10988,2.92061,1.63698,3.71875e-05,3.71875e-05,3.71875e-05
97,1289.3,0.85783,1.85602,0.78448,0.38022,0.22566,0.12481,0.07379,2.08252,2.92158,1.6198,3.1e-05,3.1e-05,3.1e-05
98,1302.38,0.96934,1.92943,0.91317,0.52707,0.22566,0.12969,0.07736,2.07247,2.90504,1.6373,2.48125e-05,2.48125e-05,2.48125e-05
99,1315.23,0.81966,1.77,0.79142,0.6854,0.21726,0.12968,0.07893,2.03799,2.86169,1.623,1.8625e-05,1.8625e-05,1.8625e-05
100,1328.2,0.86303,1.74195,0.77723,0.68693,0.21726,0.13022,0.07952,1.98634,2.84477,1.59166,1.24375e-05,1.24375e-05,1.24375e-05
