epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.42352,0,0,244.485,0,0,0,0,0,0,0,0,0,0,0,76.5289,0,0.0001125,0.0001125,0.0001125
2,16.4446,0,0,98.0075,0,0,0,0,0,0,0,0,0,0,0,14660,0,0.000228961,0.000228961,0.000228961
3,25.8524,0,0,42.5992,0,0,0,0,0,0,0,0,0,0,0,6881,0,0.00034307,0.00034307,0.00034307
4,34.7793,0,0,22.8237,0,0,0,0,0,0,0,0,0,0,0,1070.29,0,0.000454828,0.000454828,0.000454828
5,43.6566,0,0,11.5651,0,0,0,0,0,0,0,0,0,0,0,114.886,0,0.000564235,0.000564235,0.000564235
6,52.4318,0,0,5.74739,0,0,0,0,0,0,0,0,0,0,0,0.68516,0,0.000594062,0.000594062,0.000594062
