epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.02646,2.09838,4.0037,5.74237,1.95975,0.24151,0.09233,0.01389,0.00511,0.00363,0.21049,0.00793,0.00264,2.18186,3.62235,3.94461,1.91622,0.000204248,0.000204248,0.000204248
2,15.3806,2.10285,3.1975,4.63128,1.84422,0.01288,0.36713,0.01919,0.00859,0.70731,0.00725,0.0137,0.00715,2.10733,3.41431,5.05344,1.87511,0.00041122,0.00041122,0.00041122
3,23.2799,2.09,3.15882,3.46764,1.89973,0.36548,0.06763,0.03891,0.0157,0.35924,0.04541,0.02781,0.00849,2.00824,2.96358,31.3978,1.82825,0.000616817,0.000616817,0.000616817
4,31.2082,2.02396,3.14109,3.72393,1.86809,0.59316,0.07677,0.04235,0.02075,0.72036,0.03232,0.03254,0.00891,2.02137,2.65454,3.39445,1.84766,0.000618813,0.000618813,0.000618813
5,39.0876,2.01849,2.98913,3.32121,1.87743,0.38286,0.04455,0.02625,0.0113,0.39457,0.03682,0.0174,0.00759,1.9696,3.59869,3.97225,1.79979,0.00061675,0.00061675,0.00061675
6,46.8145,2.05366,3.09056,3.1819,1.89785,0.32475,0.12364,0.04915,0.02708,0.31982,0.05215,0.05275,0.01987,1.89324,2.82965,3.34054,1.7581,0.000614687,0.000614687,0.000614687
7,54.7749,2.01703,2.94853,4.21279,1.82124,0.5397,0.1101,0.08913,0.04916,0.5226,0.08546,0.06415,0.02416,1.85583,2.63219,2.66485,1.68046,0.000612625,0.000612625,0.000612625
8,62.8456,1.87597,3.00621,3.44383,1.73687,0.42329,0.15457,0.05954,0.02661,0.42018,0.15018,0.05332,0.01659,2.00314,2.70094,3.44997,1.79761,0.000610562,0.000610562,0.000610562
9,70.4254,2.00447,2.97477,3.46881,1.87027,0.33706,0.18216,0.10592,0.04808,0.30915,0.14852,0.08477,0.0318,1.84001,2.50564,4.64377,1.79899,0.0006085,0.0006085,0.0006085
10,78.4775,2.03017,2.83979,2.98222,1.97037,0.34266,0.14312,0.0874,0.04388,0.33713,0.12482,0.07382,0.02581,1.89681,2.95374,2.78534,1.97761,0.000606437,0.000606437,0.000606437
