epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.0817,0,231.709,0,0,0,0,0,0,149,0,3.75e-05,3.75e-05,3.75e-05
2,8.43562,0,234.368,0,0,0,0,0,0,100,0,8.04456e-05,8.04456e-05,8.04456e-05
3,13.3373,0,158.947,0,0,0,0,0,0,49.375,0,0.000122525,0.000122525,0.000122525
4,17.6481,0,113.506,0,0,0,0,0,0,4500,0,0.000163738,0.000163738,0.000163738
5,22.6531,0,82.0412,0,0,0,0,0,0,inf,0,0.000204085,0.000204085,0.000204085
6,27.1827,0,61.0961,0,0,0,0,0,0,inf,0,0.000243566,0.000243566,0.000243566
7,32.1324,0,47.1548,0,0,0,0,0,0,inf,0,0.00028218,0.00028218,0.00028218
8,36.6627,0,36.404,0,0,0,0,0,0,inf,0,0.000319928,0.000319928,0.000319928
9,40.975,0,29.9206,0,0,0,0,0,0,inf,0,0.00035681,0.00035681,0.00035681
10,45.8245,0,23.7498,0,0,0,0,0,0,5808,0,0.000392826,0.000392826,0.000392826
11,50.0034,0,18.7383,0,0,0,0,0,0,957,0,0.000427975,0.000427975,0.000427975
12,54.7981,0,14.4486,0,0,0,0,0,0,283,0,0.000462258,0.000462258,0.000462258
13,58.8751,0,11.0308,0,0,0,0,0,0,84.5,0,0.000495675,0.000495675,0.000495675
14,63.5662,0,8.75744,0,0,0,0,0,0,4.66406,0,0.000528226,0.000528226,0.000528226
15,67.7329,0,6.82094,0,0,0,0,0,0,4.3125,0,0.000538375,0.000538375,0.000538375
16,72.4742,0,5.34231,0,0,0,0,0,0,2.77148,0,0.000532187,0.000532187,0.000532187
17,76.6654,0,4.15292,0,0,0,0,0,0,27.0938,0,0.000526,0.000526,0.000526
18,81.4364,0,3.14799,0,0,0,0,0,0,16.6875,0,0.000519812,0.000519812,0.000519812
