epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.64486,2.73128,12.241,1.84823,0.92365,0.02521,0.01966,0.01362,2.16844,5.08826,1.66065,8.125e-05,8.125e-05,8.125e-05
2,12.9533,2.15657,6.64569,1.56243,0.895,0.01742,0.02548,0.01502,1.78077,3.23533,1.36539,0.000167079,0.000167079,0.000167079
3,21.157,2.09851,4.90189,1.52834,0.65193,0.05308,0.05126,0.03235,1.94514,4.87679,1.45885,0.000251176,0.000251176,0.000251176
4,28.333,2.13782,4.59412,1.49057,0.63773,0.04673,0.03823,0.02035,1.89529,4.46889,1.46554,0.000333541,0.000333541,0.000333541
5,35.4601,2.02066,4.15817,1.41763,0.37491,0.07686,0.07173,0.0362,2.02858,3.26268,1.58075,0.000414172,0.000414172,0.000414172
6,42.6281,1.82103,3.46925,1.38457,0.27071,0.08034,0.06108,0.03606,2.25679,242.014,1.80819,0.000493072,0.000493072,0.000493072
7,49.6835,1.84613,3.39416,1.40821,0.21282,0.02439,0.01667,0.00983,2.31663,inf,1.7791,0.000570239,0.000570239,0.000570239
8,56.1907,1.86156,2.96359,1.43234,0.62337,0.08034,0.03344,0.01858,2.24235,7.28302,1.76876,0.000581687,0.000581687,0.000581687
9,63.247,2.03736,3.54503,1.49847,0.19688,0.08239,0.03351,0.01644,2.49431,5.85783,1.86835,0.0005755,0.0005755,0.0005755
10,69.7618,1.87458,2.975,1.40393,0.64619,0.11396,0.06091,0.03725,2.15435,7.13603,1.75294,0.000569313,0.000569313,0.000569313
11,76.843,1.80496,2.61834,1.45548,0.36916,0.28471,0.09498,0.04863,2.09022,3.51975,1.62135,0.000563125,0.000563125,0.000563125
12,83.9081,1.76063,2.3666,1.37236,0.54014,0.21562,0.20366,0.11977,2.22174,2.95215,1.68447,0.000556938,0.000556938,0.000556938
13,91.5022,1.74748,2.5786,1.36608,0.35861,0.09305,0.06252,0.03277,2.34326,2.71362,1.76764,0.00055075,0.00055075,0.00055075
14,98.0722,1.83289,2.43651,1.35968,0.04794,0.0992,0.03131,0.01628,2.41504,307.027,2.2387,0.000544563,0.000544563,0.000544563
15,105.146,1.76274,2.3161,1.30656,0.16182,0.03361,0.01252,0.00631,2.13148,inf,7.4469,0.000538375,0.000538375,0.000538375
16,111.669,1.67301,2.21859,1.2835,0.38797,0.08608,0.07065,0.03243,1.94853,4.01163,1.43301,0.000532187,0.000532187,0.000532187
17,118.704,1.62346,2.1816,1.2725,0.6473,0.07276,0.05096,0.02949,2.26968,3.15072,1.6455,0.000526,0.000526,0.000526
18,125.193,1.70014,2.39793,1.21723,0.62369,0.08957,0.02747,0.01438,2.68226,4.5356,1.8488,0.000519812,0.000519812,0.000519812
19,132.223,1.61248,2.15714,1.23009,0.51496,0.06989,0.04752,0.01404,2.24597,3.6019,1.65153,0.000513625,0.000513625,0.000513625
20,138.742,1.53722,2.14646,1.1641,0.76086,0.07586,0.07636,0.04069,1.88389,2.57917,1.54867,0.000507438,0.000507438,0.000507438
21,145.79,1.67071,2.20569,1.30135,0.38979,0.12072,0.10465,0.05856,1.88887,2.47962,1.4804,0.00050125,0.00050125,0.00050125
22,152.347,1.68173,2.09896,1.2798,0.66293,0.12298,0.06866,0.03582,2.00949,2.62153,1.54395,0.000495063,0.000495063,0.000495063
23,159.381,1.65365,2.0693,1.28036,0.54095,0.11396,0.091,0.05105,1.96475,2.78538,1.45928,0.000488875,0.000488875,0.000488875
24,165.897,1.58667,2.00124,1.2829,0.69255,0.15925,0.15401,0.09096,1.79507,2.05478,1.42042,0.000482687,0.000482687,0.000482687
25,172.944,1.4849,1.90253,1.20999,0.59637,0.21028,0.16453,0.09502,1.84799,1.93022,1.44912,0.0004765,0.0004765,0.0004765
26,179.465,1.44022,2.04227,1.17837,0.38047,0.16151,0.09928,0.05629,1.97868,2.38222,1.54262,0.000470312,0.000470312,0.000470312
27,186.583,1.61472,2.23155,1.19841,0.24719,0.09311,0.0607,0.0302,2.05029,2.68472,1.58596,0.000464125,0.000464125,0.000464125
28,193.106,1.6291,2.18191,1.26406,0.6115,0.07317,0.05653,0.02793,1.99919,2.74517,1.53675,0.000457938,0.000457938,0.000457938
29,200.127,1.59532,2.02954,1.2019,0.34349,0.17017,0.07134,0.04168,2.05936,2.71996,1.50961,0.00045175,0.00045175,0.00045175
30,206.713,1.45059,1.86575,1.13266,0.26296,0.36647,0.17919,0.12164,1.75211,2.0179,1.39544,0.000445562,0.000445562,0.000445562
31,213.824,1.4775,1.85417,1.19366,0.4769,0.2856,0.19224,0.13611,1.69608,1.96594,1.37188,0.000439375,0.000439375,0.000439375
32,221.048,1.42417,1.89473,1.15919,0.38265,0.15032,0.24996,0.14717,2.00746,3.15986,1.52062,0.000433187,0.000433187,0.000433187
33,228.672,1.34755,1.79689,1.13102,0.67741,0.16479,0.24699,0.13638,1.78166,2.29438,1.38311,0.000427,0.000427,0.000427
34,235.128,1.3122,1.73129,1.13441,0.69459,0.17404,0.11591,0.07351,1.91943,2.06879,1.46515,0.000420812,0.000420812,0.000420812
35,242.241,1.26477,1.63001,1.10055,0.68754,0.19664,0.11755,0.07544,1.81754,2.0518,1.40967,0.000414625,0.000414625,0.000414625
36,248.837,1.20883,1.43414,1.10943,0.54784,0.16254,0.11635,0.0687,1.83621,2.26912,1.36404,0.000408438,0.000408438,0.000408438
37,255.951,1.28407,1.71453,1.07249,0.52399,0.14737,0.09088,0.05774,1.72872,2.43468,1.32463,0.00040225,0.00040225,0.00040225
38,262.551,1.30012,1.7714,1.12478,0.67523,0.18651,0.11477,0.06839,1.71153,2.12539,1.36696,0.000396063,0.000396063,0.000396063
39,269.657,1.30201,1.60413,1.10653,0.52518,0.2068,0.11283,0.07086,1.78296,2.12324,1.42096,0.000389875,0.000389875,0.000389875
40,276.281,1.30892,1.94521,1.11766,0.67541,0.22151,0.12999,0.08263,1.77235,2.08152,1.47811,0.000383688,0.000383688,0.000383688
41,283.408,1.17262,1.74956,1.10573,0.68248,0.22735,0.1379,0.09666,1.65152,2.08462,1.37905,0.0003775,0.0003775,0.0003775
42,290.109,1.22868,1.53686,1.03644,0.69215,0.15793,0.11515,0.07602,1.80935,2.19121,1.37112,0.000371313,0.000371313,0.000371313
43,297.29,1.18433,1.47929,1.00043,0.53888,0.17177,0.11672,0.07085,1.82145,2.11951,1.34523,0.000365125,0.000365125,0.000365125
44,303.926,1.19813,1.52756,1.09381,0.69302,0.18446,0.1519,0.09988,1.63899,1.97368,1.29134,0.000358938,0.000358938,0.000358938
45,311.032,1.21129,1.4787,1.00291,0.26589,0.36934,0.14373,0.09335,1.69361,2.13219,1.33254,0.00035275,0.00035275,0.00035275
46,317.671,1.27153,1.47545,1.07707,0.54286,0.20201,0.12211,0.07554,1.73095,2.1193,1.34018,0.000346563,0.000346563,0.000346563
47,324.821,1.27076,1.63246,1.0703,0.66534,0.17027,0.10733,0.06495,1.75459,2.17374,1.34886,0.000340375,0.000340375,0.000340375
