epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,459.127,1.26129,1.87938,1.9185,1.30899,0.32039,0.50148,0.23789,0.13993,0.34456,0.39886,0.18871,0.09947,1.14805,1.65427,1.74802,1.3052,0.000445562,0.000445562,0.000445562
31,474.587,1.2449,1.85129,2.01127,1.28955,0.1822,0.52112,0.23768,0.13897,0.15964,0.45809,0.1686,0.08125,1.2122,1.73147,1.81933,1.31187,0.000439375,0.000439375,0.000439375
32,489.407,1.19866,1.85848,2.80161,1.24058,0.26112,0.4252,0.20711,0.12086,0.23315,0.35565,0.16404,0.08293,1.26199,1.75699,1.93226,1.35215,0.000433187,0.000433187,0.000433187
33,504.185,1.21519,1.84512,1.93258,1.29856,0.3365,0.38562,0.19927,0.10807,0.32664,0.36926,0.17671,0.08142,1.23295,1.75332,1.92052,1.34475,0.000427,0.000427,0.000427
34,519.231,1.17868,1.81647,1.83073,1.25997,0.26601,0.5087,0.21291,0.13353,0.26665,0.40631,0.19365,0.09963,1.13827,1.58705,1.72111,1.2715,0.000420812,0.000420812,0.000420812
35,534.11,1.21151,1.88908,1.97547,1.28722,0.2918,0.51611,0.3238,0.20675,0.4118,0.43288,0.28203,0.13985,1.1135,1.6294,1.71574,1.2562,0.000414625,0.000414625,0.000414625
36,549.601,1.17279,1.76195,1.82174,1.26682,0.46042,0.48523,0.34233,0.21811,0.46396,0.43723,0.29048,0.14666,1.11761,1.54678,1.71813,1.27048,0.000408438,0.000408438,0.000408438
37,564.99,1.1852,1.76546,1.89153,1.27065,0.40152,0.54543,0.33369,0.24896,0.38148,0.49983,0.31023,0.1674,1.07252,1.47621,1.60746,1.22195,0.00040225,0.00040225,0.00040225
38,580.594,1.11269,1.71614,1.74961,1.20847,0.31886,0.48868,0.31321,0.20927,0.29562,0.43495,0.27954,0.15753,1.16829,1.63324,1.66225,1.26589,0.000396063,0.000396063,0.000396063
39,595.419,1.13495,1.78172,1.80171,1.20164,0.37954,0.58342,0.27968,0.18596,0.34202,0.51519,0.23462,0.12926,1.07677,1.48699,1.65204,1.23507,0.000389875,0.000389875,0.000389875
40,610.238,1.07599,1.70871,1.78264,1.18218,0.42609,0.57796,0.36179,0.2394,0.42174,0.55278,0.33779,0.17528,1.04532,1.43962,1.61599,1.21214,0.000383688,0.000383688,0.000383688
41,625.58,1.0923,1.69329,1.70126,1.18745,0.43651,0.5421,0.31864,0.21444,0.4576,0.49486,0.28667,0.15243,1.02778,1.39576,1.50755,1.19102,0.0003775,0.0003775,0.0003775
42,640.475,1.1224,1.74204,1.7762,1.20962,0.39434,0.51997,0.29251,0.18225,0.34704,0.4566,0.24177,0.12747,1.07596,1.42528,1.55829,1.23775,0.000371313,0.000371313,0.000371313
43,655.437,1.11511,1.67257,1.72581,1.23602,0.43642,0.51575,0.33524,0.20476,0.41652,0.44581,0.30041,0.14608,1.05161,1.39463,1.61212,1.228,0.000365125,0.000365125,0.000365125
44,670.331,1.11369,1.60827,1.72645,1.22426,0.44873,0.51269,0.37021,0.19903,0.44026,0.48541,0.2925,0.13485,1.07072,1.43439,1.57871,1.22818,0.000358938,0.000358938,0.000358938
45,685.115,1.07892,1.63039,1.78116,1.18451,0.447,0.54607,0.3676,0.238,0.44283,0.53099,0.33378,0.1622,1.00603,1.33772,1.53466,1.19776,0.00035275,0.00035275,0.00035275
46,699.916,1.08535,1.59949,1.74231,1.18258,0.42074,0.62038,0.32709,0.21888,0.41757,0.58212,0.28121,0.13541,1.04902,1.48736,1.56837,1.20121,0.000346563,0.000346563,0.000346563
47,714.932,1.05612,1.63717,1.82362,1.16612,0.36708,0.64008,0.3727,0.28736,0.34021,0.58481,0.33388,0.19299,0.93968,1.31208,1.50234,1.13184,0.000340375,0.000340375,0.000340375
48,730.298,1.03249,1.64666,1.75459,1.16474,0.39175,0.60643,0.32592,0.22656,0.37341,0.55658,0.2949,0.16373,0.97476,1.32124,1.50549,1.17298,0.000334188,0.000334188,0.000334188
49,745.044,1.05017,1.48661,2.03224,1.15264,0.39498,0.60405,0.33675,0.23465,0.36875,0.50526,0.29003,0.16831,0.97346,1.34516,1.47433,1.15099,0.000328,0.000328,0.000328
50,759.842,1.02124,1.57199,1.85361,1.1577,0.39625,0.61342,0.3343,0.23324,0.37284,0.55537,0.29489,0.16769,0.93271,1.2313,1.46628,1.12445,0.000321812,0.000321812,0.000321812
